,大类,子类,基金代码,基金扩位简称,基金管理人,data_entries,taded_amount
266,股票ETF,跨市场股票（沪深京）ETF,560280,工程机械ETF,广发基金管理有限公司,265,2106418621.0
311,股票ETF,跨市场股票（沪深京）ETF,561360,石油ETF,国泰基金管理有限公司,264,3169391983.0
384,股票ETF,跨市场股票（沪深京）ETF,563330,A股ETF,华泰柏瑞基金管理有限公司,259,5912155775.0
323,股票ETF,跨市场股票（沪深京）ETF,561780,1000增强ETF,博时基金管理有限公司,256,1164296188.0
33,股票ETF,单市场股票（沪）ETF,510980,上证综合ETF,汇添富基金管理股份有限公司,241,4839363113.0
293,股票ETF,跨市场股票（沪深京）ETF,561010,软件ETF基金,华安基金管理有限公司,235,827822120.0
356,股票ETF,跨市场股票（沪深京）ETF,562600,医疗器械ETF,华夏基金管理有限公司,235,306933419.0
282,股票ETF,跨市场股票（沪深京）ETF,560780,芯片设备ETF,广发基金管理有限公司,234,795337144.0
374,股票ETF,跨市场股票（沪深京）ETF,563020,红利低波动ETF,易方达基金管理有限公司,232,1690233254.0
267,股票ETF,跨市场股票（沪深京）ETF,560300,电信50ETF,汇添富基金管理股份有限公司,230,940942835.0
336,股票ETF,跨市场股票（沪深京）ETF,562060,标普红利ETF,华宝基金管理有限公司,222,10863675167.0
302,股票ETF,跨市场股票（沪深京）ETF,561200,中证100ETF工银,工银瑞信基金管理有限公司,207,519966220.0
269,股票ETF,跨市场股票（沪深京）ETF,560350,中证A50ETF指数基金,摩根基金管理（中国）有限公司,176,26085745479.0
377,股票ETF,跨市场股票（沪深京）ETF,563080,中证A50ETF易方达,易方达基金管理有限公司,172,14982889374.0
385,股票ETF,跨市场股票（沪深京）ETF,563350,中证A50ETF,华泰柏瑞基金管理有限公司,172,11018608543.0
303,股票ETF,跨市场股票（沪深京）ETF,561230,中证A50ETF基金,工银瑞信基金管理有限公司,172,9752041112.0
364,股票ETF,跨市场股票（沪深京）ETF,562890,中证A50指数ETF,嘉实基金管理有限公司,172,5409021669.0
354,股票ETF,跨市场股票（沪深京）ETF,562580,可选消费ETF,华夏基金管理有限公司,166,417938058.0
261,股票ETF,跨市场股票（沪深京）ETF,560150,红利低波ETF泰康,泰康基金管理有限公司,159,1730379276.0
352,股票ETF,跨市场股票（沪深京）ETF,562560,信息技术ETF,华夏基金管理有限公司,155,579253599.0
382,股票ETF,跨市场股票（沪深京）ETF,563280,A50增强ETF,富国基金管理有限公司,155,378783010.0
284,股票ETF,跨市场股票（沪深京）ETF,560850,信创50ETF,汇添富基金管理股份有限公司,154,904161177.0
272,股票ETF,跨市场股票（沪深京）ETF,560520,红利低波100ETF基金,大成基金管理有限公司,150,559754265.0
360,股票ETF,跨市场股票（沪深京）ETF,562820,集成电路ETF,嘉实基金管理有限公司,149,1335139003.0
280,股票ETF,跨市场股票（沪深京）ETF,560690,电信ETF基金,鹏华基金管理有限公司,149,392179116.0
322,股票ETF,跨市场股票（沪深京）ETF,561760,油气ETF博时,博时基金管理有限公司,144,396221061.0
353,股票ETF,跨市场股票（沪深京）ETF,562570,信创ETF,华夏基金管理有限公司,143,268708198.0
342,股票ETF,跨市场股票（沪深京）ETF,562340,中证500成长ETF,银华基金管理股份有限公司,140,472398971.0
32,股票ETF,单市场股票（沪）ETF,510950,上证50ETF指数,广发基金管理有限公司,138,1810307233.0
337,股票ETF,跨市场股票（沪深京）ETF,562260,汽车配件ETF,海富通基金管理有限公司,138,367381280.0
380,股票ETF,跨市场股票（沪深京）ETF,563180,高股息ETF,银华基金管理股份有限公司,136,480341452.0
358,股票ETF,跨市场股票（沪深京）ETF,562700,汽车零部件ETF,华夏基金管理有限公司,136,220044477.0
25,股票ETF,单市场股票（沪）ETF,510720,红利国企ETF,国泰基金管理有限公司,135,3102301869.0
379,股票ETF,跨市场股票（沪深京）ETF,563150,油气资源ETF,银华基金管理股份有限公司,124,256284641.0
378,股票ETF,跨市场股票（沪深京）ETF,563090,上证50ETF增强,易方达基金管理有限公司,119,413535554.0
270,股票ETF,跨市场股票（沪深京）ETF,560360,软件指数ETF,万家基金管理有限公司,108,271875004.0
